P1	Elphinstone Road --> Bandra
P1755	Malad --> Vasai Road
P1756	Charni Road --> Umroli
P1757	Elphinstone Road --> Saphale
P1758	Boisar --> Khar Road
P1759	Charni Road --> Churchgate
P1760	Kandivali --> Vaitarna
P1761	Marine Lines --> Matunga
P1762	Dahanu Road --> Santacruz
P1763	Dadar --> Boisar
P1764	Mumbai Central --> Dadar
P1765	Churchgate --> Boisar
P1766	Malad --> Mumbai Central
P1767	Kelve Road --> Charni Road
P1768	Saphale --> Nala Sopara
P1769	Virar --> Matunga
P1770	Khar Road --> Andheri
P1771	Mira Road --> Charni Road
P1772	Elphinstone Road --> Kelve Road
P1773	Kandivali --> Dadar
P1774	Churchgate --> Mumbai Central
P1775	Grant Road --> Vangaon
P1776	Mumbai Central --> Naigaon
P1777	Andheri --> Nala Sopara
P1778	Mahim --> Santacruz
P1779	Mahalaxmi --> Elphinstone Road
P1780	Santacruz --> Mumbai Central
P1781	Mira Road --> Lower Parel
P1782	Mumbai Central --> Dahisar
P1783	Jogeshwari --> Goregaon
P1784	Saphale --> Virar
P1785	Dahisar --> Borivali
P1786	Virar --> Matunga
P1787	Saphale --> Goregaon
P1788	Dahanu Road --> Nala Sopara
P1789	Kelve Road --> Nala Sopara
P1790	Mahim --> Dahanu Road
P1791	Grant Road --> Bandra
P1792	Vasai Road --> Mahim
P1793	Palghar --> Vaitarna
P1794	Vaitarna --> Naigaon
P1795	Vangaon --> Grant Road
P1796	Kelve Road --> Dahanu Road
P1797	Churchgate --> Marine Lines
P1798	Mumbai Central --> Vasai Road
P1799	Khar Road --> Saphale
P1800	Santacruz --> Kandivali
P1801	Mira Road --> Mahim
P1802	Charni Road --> Vangaon
P1803	Dahisar --> Boisar
P1804	Kandivali --> Bandra
P1805	Mahalaxmi --> Mahim
P1806	Andheri --> Grant Road
P1807	Dadar --> Boisar
P1808	Vaitarna --> Vangaon
P1809	Saphale --> Mira Road
P1810	Kandivali --> Mahim
P1811	Malad --> Vile Parle
P1812	Bandra --> Jogeshwari
P1813	Mahim --> Mahalaxmi
P1814	Jogeshwari --> Mahim
P1815	Vaitarna --> Vasai Road
P1816	Vaitarna --> Khar Road
P1817	Lower Parel --> Mahalaxmi
P1818	Nala Sopara --> Matunga
P1819	Dahanu Road --> Elphinstone Road
P1820	Virar --> Mahim
P1821	Grant Road --> Jogeshwari
P1822	Nala Sopara --> Malad
P1823	Mumbai Central --> Jogeshwari
P1824	Dahanu Road --> Kelve Road
P1825	Palghar --> Bandra
P1826	Boisar --> Bhayandar
P1827	Saphale --> Dadar
P1828	Nala Sopara --> Kelve Road
P1829	Vangaon --> Dahisar
P1830	Borivali --> Jogeshwari
P1831	Jogeshwari --> Marine Lines
P1832	Goregaon --> Virar
P1833	Jogeshwari --> Dadar
P1834	Kandivali --> Charni Road
P1835	Dahisar --> Malad
P1836	Lower Parel --> Borivali
P1837	Mira Road --> Bandra
P1838	Bhayandar --> Boisar
P1839	Charni Road --> Lower Parel
P1840	Elphinstone Road --> Vasai Road
P1841	Bhayandar --> Nala Sopara
P1842	Mahim --> Santacruz
P1843	Naigaon --> Marine Lines
P1844	Vangaon --> Marine Lines
P1845	Dadar --> Matunga
P1846	Khar Road --> Naigaon
P1847	Goregaon --> Vasai Road
P1848	Boisar --> Bandra
P1849	Goregaon --> Boisar
P1850	Goregaon --> Mahalaxmi
P1851	Saphale --> Charni Road
P1852	Dahisar --> Santacruz
P1853	Jogeshwari --> Churchgate
P1854	Bandra --> Vangaon
P1855	Kandivali --> Vangaon
P1856	Borivali --> Palghar
P1857	Palghar --> Borivali
P1858	Malad --> Kelve Road
P1859	Virar --> Saphale
P1860	Naigaon --> Vaitarna
P1861	Naigaon --> Dahisar
P1862	Khar Road --> Churchgate
P1863	Dahanu Road --> Kelve Road
P1864	Jogeshwari --> Dahisar
P1865	Mahim --> Lower Parel
P1866	Umroli --> Lower Parel
P1867	Andheri --> Bandra
P1868	Malad --> Bhayandar
P1869	Dadar --> Mahim
P1870	Mahim --> Marine Lines
P1871	Nala Sopara --> Saphale
P1872	Churchgate --> Saphale
P1873	Marine Lines --> Borivali
P1874	Matunga --> Marine Lines
P1875	Khar Road --> Mumbai Central
P1876	Santacruz --> Dadar
P1877	Naigaon --> Saphale
P1878	Umroli --> Virar
P1879	Mahalaxmi --> Boisar
P1880	Vasai Road --> Khar Road
P1881	Naigaon --> Dahisar
P1882	Nala Sopara --> Vangaon
P1883	Vasai Road --> Santacruz
P1884	Umroli --> Khar Road
P1885	Vaitarna --> Vasai Road
P1886	Mumbai Central --> Mahalaxmi
P1887	Churchgate --> Kandivali
P1888	Nala Sopara --> Boisar
P1889	Dadar --> Vasai Road
P1890	Charni Road --> Dadar
P1891	Malad --> Mumbai Central
P1892	Santacruz --> Bhayandar
P1893	Dadar --> Grant Road
P1894	Nala Sopara --> Borivali
P1895	Boisar --> Santacruz
P1896	Grant Road --> Charni Road
P1897	Vangaon --> Malad
P1898	Bhayandar --> Mahalaxmi
P1899	Lower Parel --> Kelve Road
P1900	Mira Road --> Virar
P1901	Kandivali --> Khar Road
P1902	Andheri --> Mumbai Central
P1903	Matunga --> Khar Road
P1904	Boisar --> Palghar
P1905	Malad --> Charni Road
P1906	Dahisar --> Dadar
P1907	Nala Sopara --> Malad
P1908	Goregaon --> Virar
P1909	Vasai Road --> Lower Parel
P1910	Dadar --> Naigaon
P1911	Dadar --> Kelve Road
P1912	Dadar --> Boisar
P1913	Khar Road --> Bhayandar
P1914	Dahisar --> Elphinstone Road
P1915	Khar Road --> Vangaon
P1916	Mira Road --> Mahalaxmi
P1917	Nala Sopara --> Kelve Road
P1918	Mira Road --> Dahisar
P1919	Boisar --> Santacruz
P1920	Malad --> Mahalaxmi
P1921	Mira Road --> Andheri
P1922	Mira Road --> Mahim
P1923	Vile Parle --> Churchgate
P1924	Vasai Road --> Elphinstone Road
P1925	Mumbai Central --> Jogeshwari
P1926	Vasai Road --> Naigaon
P1927	Umroli --> Mira Road
P1928	Vaitarna --> Charni Road
P1929	Grant Road --> Kelve Road
P1930	Mira Road --> Borivali
P1931	Malad --> Umroli
P1932	Borivali --> Goregaon
P1933	Lower Parel --> Dahisar
P1934	Bhayandar --> Dahisar
P1935	Lower Parel --> Boisar
P1936	Charni Road --> Bhayandar
P1937	Nala Sopara --> Mumbai Central
P1938	Khar Road --> Bhayandar
P1939	Lower Parel --> Khar Road
P1940	Grant Road --> Mahim
P1941	Dahisar --> Marine Lines
P1942	Dahanu Road --> Kandivali
P1943	Goregaon --> Mahim
P1944	Jogeshwari --> Nala Sopara
P1945	Virar --> Naigaon
P1946	Bhayandar --> Naigaon
P1947	Saphale --> Marine Lines
P1948	Saphale --> Andheri
P1949	Kandivali --> Matunga
P1950	Borivali --> Dadar
P1951	Marine Lines --> Khar Road
P1952	Mumbai Central --> Naigaon
P1953	Vaitarna --> Vangaon
P1954	Nala Sopara --> Marine Lines
P1955	Palghar --> Dahanu Road
P1956	Kandivali --> Mahalaxmi
P1957	Churchgate --> Vaitarna
P1958	Dadar --> Marine Lines
P1959	Elphinstone Road --> Bandra
P1960	Malad --> Virar
P1961	Grant Road --> Mahim
P1962	Vasai Road --> Mahim
P1963	Elphinstone Road --> Grant Road
P1964	Bandra --> Bhayandar
P1965	Marine Lines --> Dadar
P1966	Dahanu Road --> Charni Road
P1967	Bhayandar --> Charni Road
P1968	Bandra --> Kandivali
P1969	Mira Road --> Boisar
P1970	Bhayandar --> Andheri
P1971	Churchgate --> Nala Sopara
P1972	Palghar --> Bhayandar
P1973	Santacruz --> Saphale
P1974	Matunga --> Elphinstone Road
P1975	Bandra --> Kelve Road
P1976	Dahisar --> Mahalaxmi
P1977	Bandra --> Nala Sopara
P1978	Mira Road --> Goregaon
P1979	Kandivali --> Vile Parle
P1980	Vangaon --> Vile Parle
P1981	Borivali --> Lower Parel
P1982	Goregaon --> Jogeshwari
P1983	Charni Road --> Marine Lines
P1984	Vasai Road --> Kelve Road
P1985	Dadar --> Kelve Road
P1986	Santacruz --> Bhayandar
P1987	Goregaon --> Palghar
P1988	Andheri --> Naigaon
P1989	Malad --> Vasai Road
P1990	Elphinstone Road --> Mahim
P1991	Dadar --> Mira Road
P1992	Bandra --> Goregaon
P1993	Boisar --> Lower Parel
P1994	Mahim --> Charni Road
P1995	Kandivali --> Saphale
P1996	Marine Lines --> Vile Parle
P1997	Vasai Road --> Mumbai Central
P1998	Kelve Road --> Vaitarna
P1999	Andheri --> Nala Sopara
P2000	Palghar --> Umroli
P2001	Santacruz --> Vangaon
P2002	Borivali --> Dahanu Road
P2003	Bhayandar --> Virar
P2004	Vasai Road --> Kandivali
P2005	Umroli --> Mahim
P2006	Lower Parel --> Bhayandar
P2007	Saphale --> Vasai Road
P2008	Naigaon --> Umroli
P2009	Kelve Road --> Vasai Road
P2010	Mahalaxmi --> Virar
P2011	Mumbai Central --> Dahanu Road
P2012	Saphale --> Churchgate
P2013	Vile Parle --> Santacruz
P2014	Dahisar --> Borivali
P2015	Vasai Road --> Mumbai Central
P2016	Naigaon --> Nala Sopara
P2017	Nala Sopara --> Matunga
P2018	Marine Lines --> Khar Road
P2019	Jogeshwari --> Borivali
P2020	Andheri --> Naigaon
P2021	Borivali --> Dadar
P2022	Vasai Road --> Kandivali
P2023	Kelve Road --> Vile Parle
P2024	Elphinstone Road --> Bandra
P2025	Dahisar --> Charni Road
P2026	Boisar --> Santacruz
P2027	Mira Road --> Umroli
P2028	Dahanu Road --> Malad
P2029	Boisar --> Vasai Road
P2030	Lower Parel --> Vasai Road
P2031	Malad --> Goregaon
P2032	Kelve Road --> Nala Sopara
P2033	Dadar --> Santacruz
P2034	Dahisar --> Kandivali
P2035	Matunga --> Goregaon
P2036	Palghar --> Umroli
P2037	Marine Lines --> Borivali
P2038	Dadar --> Kelve Road
P2039	Andheri --> Dahisar
P2040	Mumbai Central --> Borivali
P2041	Mira Road --> Charni Road
P2042	Lower Parel --> Nala Sopara
P2043	Mahim --> Borivali
P2044	Boisar --> Andheri
P2045	Vasai Road --> Boisar
P2046	Churchgate --> Dahanu Road
P2047	Saphale --> Charni Road
P2048	Dadar --> Virar
P2049	Mira Road --> Matunga
P2050	Elphinstone Road --> Palghar
P2051	Umroli --> Churchgate
P2052	Vaitarna --> Marine Lines
P2053	Andheri --> Dahisar
P2054	Mahim --> Andheri
P2055	Dadar --> Dahisar
P2056	Churchgate --> Matunga
P2057	Vangaon --> Umroli
P2058	Andheri --> Kelve Road
P2059	Kelve Road --> Nala Sopara
P2060	Elphinstone Road --> Goregaon
P2061	Dahanu Road --> Jogeshwari
P2062	Kandivali --> Goregaon
P2063	Goregaon --> Lower Parel
P2064	Mira Road --> Dadar
P2065	Saphale --> Vile Parle
P2066	Dahisar --> Marine Lines
P2067	Kelve Road --> Bandra
P2068	Bandra --> Dahisar
P2069	Dahanu Road --> Kandivali
P2070	Borivali --> Grant Road
P2071	Vasai Road --> Bhayandar
P2072	Vangaon --> Goregaon
P2073	Vasai Road --> Mumbai Central
P2074	Vile Parle --> Kelve Road
P2075	Virar --> Bandra
P2076	Bandra --> Grant Road
P2077	Vasai Road --> Vile Parle
P2078	Boisar --> Grant Road
P2079	Dahanu Road --> Andheri
P2080	Borivali --> Bhayandar
P2081	Jogeshwari --> Vangaon
P2082	Goregaon --> Vaitarna
P2083	Andheri --> Palghar
P2084	Mira Road --> Mahim
P2085	Khar Road --> Mira Road
P2086	Lower Parel --> Santacruz
P2087	Mahim --> Dahanu Road
P2088	Mahalaxmi --> Palghar
P2089	Marine Lines --> Nala Sopara
P2090	Vaitarna --> Charni Road
P2091	Marine Lines --> Elphinstone Road
P2092	Mahim --> Malad
P2093	Palghar --> Umroli
P2094	Naigaon --> Vangaon
P2095	Naigaon --> Bandra
P2096	Elphinstone Road --> Malad
P2097	Virar --> Palghar
P2098	Grant Road --> Marine Lines
P2099	Virar --> Jogeshwari
P2100	Palghar --> Mahim
P2101	Kandivali --> Virar
P2102	Jogeshwari --> Lower Parel
P2103	Bhayandar --> Borivali
P2104	Palghar --> Santacruz
P2105	Dadar --> Palghar
P2106	Vaitarna --> Marine Lines
P2107	Bandra --> Vile Parle
P2108	Mahalaxmi --> Umroli
P2109	Naigaon --> Saphale
P2110	Mumbai Central --> Charni Road
P2111	Vile Parle --> Dahanu Road
P2112	Santacruz --> Palghar
P2113	Bhayandar --> Matunga
P2114	Vaitarna --> Virar
P2115	Saphale --> Santacruz
P2116	Umroli --> Elphinstone Road
P2117	Bhayandar --> Mahalaxmi
P2118	Marine Lines --> Vile Parle
P2119	Andheri --> Churchgate
P2120	Andheri --> Mahim
P2121	Nala Sopara --> Mira Road
P2122	Mumbai Central --> Umroli
P2123	Bhayandar --> Andheri
P2124	Palghar --> Charni Road
P2125	Khar Road --> Dahisar
P2126	Bandra --> Charni Road
P2127	Mira Road --> Kandivali
P2128	Mumbai Central --> Dahisar
P2129	Elphinstone Road --> Lower Parel
P2130	Umroli --> Bhayandar
P2131	Kandivali --> Borivali
P2132	Elphinstone Road --> Bandra
P2133	Vasai Road --> Khar Road
P2134	Santacruz --> Bhayandar
P2135	Vaitarna --> Mahalaxmi
P2136	Malad --> Matunga
P2137	Vangaon --> Kandivali
P2138	Jogeshwari --> Nala Sopara
P2139	Jogeshwari --> Mumbai Central
P2140	Jogeshwari --> Churchgate
P2141	Umroli --> Jogeshwari
P2142	Bhayandar --> Kandivali
P2143	Churchgate --> Bandra
P2144	Grant Road --> Umroli
P2145	Khar Road --> Naigaon
P2146	Bandra --> Jogeshwari
P2147	Borivali --> Bandra
P2148	Grant Road --> Dahisar
P2149	Palghar --> Saphale
P2150	Marine Lines --> Umroli
P2151	Dadar --> Vaitarna
P2152	Vangaon --> Naigaon
P2153	Umroli --> Malad
P2154	Nala Sopara --> Umroli
P2155	Matunga --> Elphinstone Road
P2156	Khar Road --> Malad
P2157	Bhayandar --> Palghar
P2158	Umroli --> Borivali
P2159	Churchgate --> Mira Road
P2160	Vangaon --> Elphinstone Road
P2161	Marine Lines --> Kelve Road
P2162	Khar Road --> Dahanu Road
P2163	Elphinstone Road --> Palghar
P2164	Khar Road --> Umroli
P2165	Umroli --> Bandra
P2166	Marine Lines --> Palghar
P2167	Marine Lines --> Mahalaxmi
P2168	Mahalaxmi --> Lower Parel
P2169	Goregaon --> Mumbai Central
P2170	Naigaon --> Santacruz
P2171	Kandivali --> Mumbai Central
P2172	Marine Lines --> Dahisar
P2173	Umroli --> Mahim
P2174	Vangaon --> Vasai Road
P2175	Dahisar --> Dadar
P2176	Charni Road --> Marine Lines
P2177	Mahim --> Dadar
P2178	Grant Road --> Vangaon
P2179	Marine Lines --> Mira Road
P2180	Matunga --> Naigaon
P2181	Goregaon --> Kandivali
P2182	Vasai Road --> Grant Road
P2183	Dadar --> Churchgate
P2184	Charni Road --> Dahisar
P2185	Virar --> Mahalaxmi
P2186	Goregaon --> Kelve Road
P2187	Kandivali --> Mahim
P2188	Vaitarna --> Umroli
P2189	Matunga --> Jogeshwari
P2190	Khar Road --> Kelve Road
P2191	Naigaon --> Grant Road
P2192	Mahim --> Malad
P2193	Dahanu Road --> Goregaon
P2194	Vangaon --> Malad
P2195	Vaitarna --> Vangaon
P2196	Naigaon --> Dadar
P2197	Goregaon --> Jogeshwari
P2198	Naigaon --> Elphinstone Road
P2199	Mahim --> Vangaon
P2200	Vile Parle --> Mahim
P2201	Umroli --> Churchgate
P2202	Andheri --> Goregaon
P2203	Naigaon --> Nala Sopara
P2204	Grant Road --> Bhayandar
P2205	Khar Road --> Vasai Road
P2206	Dahanu Road --> Lower Parel
P2207	Virar --> Dahisar
P2208	Dahanu Road --> Kandivali
P2209	Elphinstone Road --> Jogeshwari
P2210	Matunga --> Jogeshwari
P2211	Dahisar --> Vangaon
P2212	Saphale --> Vangaon
P2213	Vile Parle --> Kandivali
P2214	Goregaon --> Kandivali
P2215	Khar Road --> Palghar
P2216	Vasai Road --> Charni Road
P2217	Bhayandar --> Nala Sopara
P2218	Virar --> Boisar
P2219	Kandivali --> Boisar
P2220	Dahisar --> Mahalaxmi
P2221	Virar --> Bandra
P2222	Charni Road --> Vangaon
P2223	Jogeshwari --> Elphinstone Road
P2224	Dahanu Road --> Elphinstone Road
P2225	Lower Parel --> Naigaon
P2226	Marine Lines --> Charni Road
P2227	Dahisar --> Mumbai Central
P2228	Dadar --> Malad
P2229	Vile Parle --> Santacruz
P2230	Virar --> Mumbai Central
P2231	Churchgate --> Matunga
P2232	Santacruz --> Mahalaxmi
P2233	Boisar --> Malad
P2234	Vaitarna --> Bhayandar
P2235	Bandra --> Lower Parel
P2236	Borivali --> Boisar
P2237	Charni Road --> Saphale
P2238	Churchgate --> Lower Parel
P2239	Andheri --> Dahisar
P2240	Lower Parel --> Andheri
P2241	Jogeshwari --> Khar Road
P2242	Matunga --> Kandivali
P2243	Kelve Road --> Santacruz
P2244	Santacruz --> Dahanu Road
P2245	Umroli --> Naigaon
P2246	Mahim --> Bandra
P2247	Elphinstone Road --> Vaitarna
P2248	Mahalaxmi --> Naigaon
P2249	Matunga --> Charni Road
P2250	Kandivali --> Marine Lines
P2251	Dahanu Road --> Umroli
P2252	Umroli --> Dahisar
P2253	Elphinstone Road --> Vasai Road
P2254	Matunga --> Elphinstone Road
P2255	Dahanu Road --> Dahisar
P2256	Virar --> Vaitarna
P2257	Kelve Road --> Charni Road
P2258	Goregaon --> Dahanu Road
P2259	Goregaon --> Boisar
P2260	Vaitarna --> Grant Road
P2261	Vile Parle --> Mira Road
P2262	Matunga --> Malad
P2263	Dadar --> Santacruz
P2264	Kelve Road --> Virar
P2265	Saphale --> Virar
P2266	Dahanu Road --> Andheri
P2267	Mumbai Central --> Vasai Road
P2268	Vile Parle --> Dahanu Road
P2269	Mahalaxmi --> Dadar
P2270	Dahisar --> Kandivali
P2271	Saphale --> Palghar
P2272	Borivali --> Elphinstone Road
P2273	Mahalaxmi --> Naigaon
P2274	Dahanu Road --> Jogeshwari
P2275	Kelve Road --> Churchgate
P2276	Dadar --> Khar Road
P2277	Vangaon --> Andheri
P2278	Kelve Road --> Khar Road
P2279	Malad --> Mahim
P2280	Mahalaxmi --> Goregaon
P2281	Jogeshwari --> Mahalaxmi
P2282	Grant Road --> Elphinstone Road
P2283	Churchgate --> Saphale
P2284	Saphale --> Nala Sopara
P2285	Naigaon --> Lower Parel
P2286	Dahisar --> Grant Road
P2287	Mahalaxmi --> Nala Sopara
P2288	Umroli --> Bhayandar
P2289	Grant Road --> Kelve Road
P2290	Mahim --> Dadar
P2291	Grant Road --> Lower Parel
P2292	Jogeshwari --> Palghar
P2293	Bandra --> Andheri
P2294	Dadar --> Kelve Road
P2295	Matunga --> Dahanu Road
P2296	Santacruz --> Mira Road
P2297	Goregaon --> Nala Sopara
P2298	Vile Parle --> Kandivali
P2299	Malad --> Vasai Road
P2300	Virar --> Santacruz
P2301	Mahalaxmi --> Vasai Road
P2302	Vangaon --> Andheri
P2303	Borivali --> Jogeshwari
P2304	Matunga --> Grant Road
P2305	Jogeshwari --> Elphinstone Road
P2306	Grant Road --> Kandivali
P2307	Grant Road --> Nala Sopara
P2308	Vangaon --> Matunga
P2309	Vasai Road --> Mira Road
P2310	Vaitarna --> Goregaon
P2311	Umroli --> Kandivali
P2312	Vaitarna --> Mahim
P2313	Charni Road --> Palghar
P2314	Lower Parel --> Boisar
P2315	Vangaon --> Saphale
P2316	Grant Road --> Goregaon
P2317	Umroli --> Andheri
P2318	Mahim --> Mumbai Central
P2319	Dahanu Road --> Malad
P2320	Matunga --> Elphinstone Road
P2321	Saphale --> Bandra
P2322	Dadar --> Dahanu Road
P2323	Mira Road --> Vaitarna
P2324	Marine Lines --> Dadar
P2325	Boisar --> Marine Lines
P2326	Borivali --> Vaitarna
P2327	Boisar --> Vaitarna
P2328	Marine Lines --> Mahalaxmi
P2329	Palghar --> Naigaon
P2330	Dadar --> Vasai Road
P2331	Vile Parle --> Malad
P2332	Matunga --> Andheri
P2333	Jogeshwari --> Bandra
P2334	Kelve Road --> Palghar
P2335	Grant Road --> Elphinstone Road
P2336	Elphinstone Road --> Lower Parel
P2337	Dadar --> Malad
P2338	Mahalaxmi --> Bhayandar
P2339	Andheri --> Borivali
P2340	Andheri --> Charni Road
P2341	Matunga --> Palghar
P2342	Boisar --> Mumbai Central
P2343	Andheri --> Matunga
P2344	Malad --> Dahisar
P2345	Mahalaxmi --> Mahim
P2346	Jogeshwari --> Elphinstone Road
P2347	Naigaon --> Bhayandar
P2348	Dahisar --> Umroli
P2349	Mahim --> Khar Road
P2350	Mira Road --> Marine Lines
P2351	Umroli --> Mumbai Central
P2352	Lower Parel --> Kandivali
P2353	Andheri --> Bandra
P2354	Khar Road --> Bandra
P2355	Jogeshwari --> Marine Lines
P2356	Matunga --> Borivali
P2357	Jogeshwari --> Khar Road
P2358	Vaitarna --> Lower Parel
P2359	Kandivali --> Andheri
P2360	Naigaon --> Bandra
P2361	Mahalaxmi --> Goregaon
P2362	Boisar --> Saphale
P2363	Goregaon --> Dahisar
P2364	Andheri --> Grant Road
P2365	Vangaon --> Mumbai Central
P2366	Marine Lines --> Vasai Road
P2367	Mira Road --> Boisar
P2368	Lower Parel --> Bhayandar
P2369	Boisar --> Malad
P2370	Mira Road --> Boisar
P2371	Borivali --> Mumbai Central
P2372	Bhayandar --> Saphale
P2373	Dahisar --> Jogeshwari
P2374	Virar --> Kelve Road
P2375	Churchgate --> Goregaon
P2376	Malad --> Vasai Road
P2377	Palghar --> Charni Road
P2378	Malad --> Mumbai Central
P2379	Mahim --> Vasai Road
P2380	Palghar --> Lower Parel
P2381	Santacruz --> Charni Road
P2382	Borivali --> Lower Parel
P2383	Bandra --> Mira Road
P2384	Khar Road --> Jogeshwari
P2385	Matunga --> Boisar
P2386	Saphale --> Mahim
P2387	Jogeshwari --> Vile Parle
P2388	Mahalaxmi --> Dahisar
P2389	Dadar --> Lower Parel
P2390	Andheri --> Vangaon
P2391	Vile Parle --> Naigaon
P2392	Mira Road --> Mumbai Central
P2393	Churchgate --> Jogeshwari
P2394	Saphale --> Mumbai Central
P2395	Vaitarna --> Palghar
P2396	Santacruz --> Jogeshwari
P2397	Mumbai Central --> Dahanu Road
P2398	Bhayandar --> Lower Parel
P2399	Mira Road --> Vasai Road
P2400	Vasai Road --> Jogeshwari
P2401	Goregaon --> Bandra
P2402	Nala Sopara --> Mira Road
P2403	Mira Road --> Matunga
P2404	Palghar --> Dadar
P2405	Mumbai Central --> Palghar
P2406	Vangaon --> Lower Parel
P2407	Bhayandar --> Khar Road
P2408	Marine Lines --> Mahim
P2409	Umroli --> Andheri
P2410	Dahanu Road --> Borivali
P2411	Umroli --> Dahanu Road
P2412	Kandivali --> Vile Parle
P2413	Vangaon --> Elphinstone Road
P2414	Mira Road --> Elphinstone Road
P2415	Dahanu Road --> Bandra
P2416	Churchgate --> Kelve Road
P2417	Goregaon --> Saphale
P2418	Lower Parel --> Churchgate
P2419	Churchgate --> Dadar
P2420	Vaitarna --> Charni Road
P2421	Santacruz --> Saphale
P2422	Mahalaxmi --> Nala Sopara
P2423	Matunga --> Dahisar
P2424	Malad --> Khar Road
P2425	Vaitarna --> Boisar
P2426	Goregaon --> Mahim
P2427	Borivali --> Mahalaxmi
P2428	Borivali --> Santacruz
P2429	Santacruz --> Kelve Road
P2430	Vangaon --> Goregaon
P2431	Lower Parel --> Virar
P2432	Vile Parle --> Mahim
P2433	Mumbai Central --> Marine Lines
P2434	Boisar --> Kelve Road
P2435	Borivali --> Vaitarna
P2436	Vasai Road --> Churchgate
P2437	Naigaon --> Boisar
P2438	Grant Road --> Churchgate
P2439	Matunga --> Vaitarna
P2440	Dahanu Road --> Kelve Road
P2441	Bhayandar --> Elphinstone Road
P2442	Andheri --> Malad
P2443	Vasai Road --> Malad
P2444	Vangaon --> Marine Lines
P2445	Palghar --> Elphinstone Road
P2446	Mumbai Central --> Saphale
P2447	Mira Road --> Vile Parle
P2448	Borivali --> Dahanu Road
P2449	Kandivali --> Santacruz
P2450	Marine Lines --> Mahalaxmi
P2451	Churchgate --> Vasai Road
P2452	Mira Road --> Churchgate
P2453	Marine Lines --> Naigaon
P2454	Kelve Road --> Churchgate
P2455	Bandra --> Bhayandar
P2456	Malad --> Lower Parel
P2457	Charni Road --> Mumbai Central
P2458	Borivali --> Khar Road
P2459	Bandra --> Dadar
P2460	Kelve Road --> Santacruz
P2461	Bandra --> Dadar
P2462	Dadar --> Dahanu Road
P2463	Vangaon --> Bandra
P2464	Grant Road --> Umroli
P2465	Grant Road --> Santacruz
P2466	Dahisar --> Elphinstone Road
P2467	Nala Sopara --> Virar
P2468	Kandivali --> Khar Road
P2469	Palghar --> Mumbai Central
P2470	Saphale --> Dadar
P2471	Vaitarna --> Kelve Road
P2472	Charni Road --> Mumbai Central
P2473	Vasai Road --> Vaitarna
P2474	Vasai Road --> Malad
P2475	Vaitarna --> Vile Parle
P2476	Boisar --> Virar
P2477	Goregaon --> Vile Parle
P2478	Vile Parle --> Kandivali
P2479	Bandra --> Dahisar
P2480	Elphinstone Road --> Andheri
P2481	Mahim --> Boisar
P2482	Goregaon --> Dadar
P2483	Charni Road --> Malad
P2484	Santacruz --> Boisar
P2485	Santacruz --> Borivali
P2486	Vile Parle --> Kandivali
P2487	Khar Road --> Mahim
P2488	Dadar --> Grant Road
P2489	Charni Road --> Vasai Road
P2490	Mahalaxmi --> Mahim
P2491	Kandivali --> Jogeshwari
P2492	Goregaon --> Umroli
P2493	Mahalaxmi --> Naigaon
P2494	Marine Lines --> Nala Sopara
P2495	Goregaon --> Saphale
P2496	Naigaon --> Santacruz
P2497	Jogeshwari --> Borivali
P2498	Bhayandar --> Dahisar
P2499	Dadar --> Marine Lines
P2500	Kandivali --> Jogeshwari
P2501	Dahanu Road --> Naigaon
P2502	Mira Road --> Mumbai Central
P2503	Borivali --> Elphinstone Road
P2504	Kelve Road --> Palghar
P2505	Vile Parle --> Grant Road
P2506	Lower Parel --> Borivali
P2507	Mahalaxmi --> Vaitarna
P2508	Dahanu Road --> Dahisar
P2509	Charni Road --> Churchgate
P2510	Kelve Road --> Boisar
P2511	Palghar --> Khar Road
P2512	Santacruz --> Jogeshwari
P2513	Mahalaxmi --> Malad
P2514	Elphinstone Road --> Mahim
P2515	Naigaon --> Dahanu Road
P2516	Kelve Road --> Elphinstone Road
P2517	Saphale --> Mumbai Central
P2518	Khar Road --> Nala Sopara
P2519	Mira Road --> Mahalaxmi
P2520	Kelve Road --> Charni Road
P2521	Kelve Road --> Malad
P2522	Malad --> Kelve Road
P2523	Bhayandar --> Vile Parle
P2524	Palghar --> Churchgate
P2525	Dahanu Road --> Kandivali
P2526	Virar --> Lower Parel
P2527	Vasai Road --> Grant Road
P2528	Kelve Road --> Andheri
P2529	Dadar --> Umroli
P2530	Boisar --> Marine Lines
P2531	Mahalaxmi --> Naigaon
P2532	Naigaon --> Dahisar
P2533	Santacruz --> Lower Parel
P2534	Virar --> Churchgate
P2535	Bhayandar --> Nala Sopara
P2536	Khar Road --> Vile Parle
P2537	Vasai Road --> Goregaon
P2538	Santacruz --> Mahalaxmi
P2539	Vasai Road --> Bandra
P2540	Matunga --> Palghar
P2541	Boisar --> Matunga
P2542	Grant Road --> Bhayandar
P2543	Dadar --> Malad
P2544	Kelve Road --> Mumbai Central
P2545	Bhayandar --> Vile Parle
P2546	Saphale --> Bhayandar
P2547	Jogeshwari --> Nala Sopara
P2548	Grant Road --> Mahim
P2549	Vasai Road --> Kandivali
P2550	Virar --> Palghar
P2551	Boisar --> Umroli
P2552	Naigaon --> Borivali
P2553	Vasai Road --> Jogeshwari
P2554	Bandra --> Mahim
P2555	Vile Parle --> Borivali
P2556	Mahim --> Goregaon
