P1	Borivali --> Churchgate
P853	Palghar --> Grant Road
P854	Kandivali --> Saphale
P855	Boisar --> Bandra
P856	Vile Parle --> Churchgate
P857	Grant Road --> Dadar
P858	Mahalaxmi --> Charni Road
P859	Vile Parle --> Palghar
P860	Naigaon --> Dadar
P861	Jogeshwari --> Malad
P862	Marine Lines --> Churchgate
P863	Mira Road --> Grant Road
P864	Malad --> Lower Parel
P865	Palghar --> Dahisar
P866	Saphale --> Santacruz
P867	Vasai Road --> Vangaon
P868	Santacruz --> Kelve Road
P869	Dahanu Road --> Naigaon
P870	Bhayandar --> Grant Road
P871	Vaitarna --> Lower Parel
P872	Dahanu Road --> Vasai Road
P873	Vaitarna --> Naigaon
P874	Mahalaxmi --> Naigaon
P875	Nala Sopara --> Dadar
P876	Umroli --> Dadar
P877	Malad --> Kandivali
P878	Dahanu Road --> Mahalaxmi
P879	Borivali --> Nala Sopara
P880	Virar --> Boisar
P881	Matunga --> Charni Road
P882	Marine Lines --> Elphinstone Road
P883	Naigaon --> Khar Road
P884	Matunga --> Malad
P885	Palghar --> Goregaon
P886	Dadar --> Bhayandar
P887	Dahisar --> Andheri
P888	Matunga --> Mira Road
P889	Kelve Road --> Dahanu Road
P890	Grant Road --> Andheri
P891	Bandra --> Vile Parle
P892	Boisar --> Andheri
P893	Goregaon --> Vile Parle
P894	Bhayandar --> Vangaon
P895	Elphinstone Road --> Mumbai Central
P896	Marine Lines --> Bhayandar
P897	Malad --> Borivali
P898	Dahisar --> Mahim
P899	Dahanu Road --> Kandivali
P900	Saphale --> Vile Parle
P901	Mahalaxmi --> Dadar
P902	Lower Parel --> Kelve Road
P903	Churchgate --> Bhayandar
P904	Matunga --> Bandra
P905	Kelve Road --> Khar Road
P906	Kandivali --> Marine Lines
P907	Jogeshwari --> Dahanu Road
P908	Umroli --> Churchgate
P909	Khar Road --> Marine Lines
P910	Naigaon --> Vasai Road
P911	Dahanu Road --> Matunga
P912	Elphinstone Road --> Vaitarna
P913	Nala Sopara --> Mahim
P914	Grant Road --> Boisar
P915	Elphinstone Road --> Mira Road
P916	Matunga --> Dadar
P917	Nala Sopara --> Dadar
P918	Naigaon --> Virar
P919	Dahisar --> Mumbai Central
P920	Vasai Road --> Andheri
P921	Nala Sopara --> Bandra
P922	Umroli --> Vangaon
P923	Dahanu Road --> Mahim
P924	Vasai Road --> Bandra
P925	Naigaon --> Mahim
P926	Dadar --> Boisar
P927	Kelve Road --> Malad
P928	Andheri --> Mira Road
P929	Vasai Road --> Matunga
P930	Virar --> Marine Lines
P931	Andheri --> Dahanu Road
P932	Mahim --> Matunga
P933	Grant Road --> Charni Road
P934	Borivali --> Nala Sopara
P935	Goregaon --> Mumbai Central
P936	Malad --> Bandra
P937	Umroli --> Vile Parle
P938	Vasai Road --> Bandra
P939	Mahalaxmi --> Mahim
P940	Marine Lines --> Bhayandar
P941	Umroli --> Marine Lines
P942	Goregaon --> Vangaon
P943	Dadar --> Vasai Road
P944	Palghar --> Jogeshwari
P945	Vaitarna --> Vangaon
P946	Khar Road --> Boisar
P947	Kandivali --> Palghar
P948	Matunga --> Kelve Road
P949	Naigaon --> Mumbai Central
P950	Bandra --> Santacruz
P951	Saphale --> Goregaon
P952	Nala Sopara --> Matunga
P953	Charni Road --> Mahim
P954	Vile Parle --> Nala Sopara
P955	Grant Road --> Matunga
P956	Bhayandar --> Mira Road
P957	Bandra --> Naigaon
P958	Palghar --> Kelve Road
P959	Elphinstone Road --> Mumbai Central
P960	Bandra --> Marine Lines
P961	Saphale --> Vasai Road
P962	Virar --> Boisar
P963	Palghar --> Naigaon
P964	Malad --> Elphinstone Road
P965	Mahalaxmi --> Saphale
P966	Borivali --> Dadar
P967	Matunga --> Boisar
P968	Kandivali --> Borivali
P969	Borivali --> Bandra
P970	Boisar --> Andheri
P971	Nala Sopara --> Churchgate
P972	Matunga --> Naigaon
P973	Umroli --> Dahisar
P974	Virar --> Naigaon
P975	Palghar --> Saphale
P976	Saphale --> Umroli
P977	Mahim --> Santacruz
P978	Vaitarna --> Dahanu Road
P979	Santacruz --> Khar Road
P980	Palghar --> Dahanu Road
P981	Grant Road --> Mahalaxmi
P982	Goregaon --> Bhayandar
P983	Vasai Road --> Saphale
P984	Vasai Road --> Elphinstone Road
P985	Borivali --> Mahalaxmi
P986	Malad --> Matunga
P987	Vangaon --> Vaitarna
P988	Matunga --> Grant Road
P989	Vasai Road --> Mumbai Central
P990	Mahalaxmi --> Matunga
P991	Borivali --> Mahalaxmi
P992	Churchgate --> Charni Road
P993	Santacruz --> Lower Parel
P994	Vaitarna --> Grant Road
P995	Boisar --> Grant Road
P996	Bhayandar --> Bandra
P997	Boisar --> Mahim
P998	Mahalaxmi --> Andheri
P999	Vangaon --> Charni Road
P1000	Saphale --> Dahisar
P1001	Ghatkopar --> Nahur
P1002	Byculla --> Kalyan
P1003	Bhandup --> Chinchpokli
P1004	Masjid --> Bhandup
P1005	Vidyavihar --> Sion
P1006	Currey Road --> Mumbra
P1007	Currey Road --> Thane
P1008	Dombivli --> Kurla
P1009	Parel --> Kalwa
P1010	Dadar --> Nahur
P1011	Dombivli --> Sandhurst Road
P1012	Kalwa --> Chhatrapati Shivaji Terminus
P1013	Nahur --> Mumbra
P1014	Kalyan --> Chinchpokli
P1015	Byculla --> Mumbra
P1016	Dombivli --> Bhandup
P1017	Dombivli --> Vidyavihar
P1018	Kalwa --> Mulund
P1019	Kopar --> Bhandup
P1020	Sandhurst Road --> Vikhroli
P1021	Kalwa --> Sion
P1022	Masjid --> Sion
P1023	Nahur --> Parel
P1024	Vidyavihar --> Kalwa
P1025	Kopar --> Sion
P1026	Parel --> Kurla
P1027	Kopar --> Kurla
P1028	Chhatrapati Shivaji Terminus --> Kalwa
P1029	Diva --> Sion
P1030	Sandhurst Road --> Kanjurmarg
P1031	Chhatrapati Shivaji Terminus --> Dombivli
P1032	Kalwa --> Chinchpokli
P1033	Thakurli --> Kanjurmarg
P1034	Ghatkopar --> Mumbra
P1035	Dadar --> Mumbra
P1036	Mumbra --> Diva
P1037	Kopar --> Dadar
P1038	Kopar --> Nahur
P1039	Dadar --> Chinchpokli
P1040	Mulund --> Kanjurmarg
P1041	Thakurli --> Kalyan
P1042	Vidyavihar --> Dombivli
P1043	Kalwa --> Chinchpokli
P1044	Kanjurmarg --> Matunga
P1045	Chhatrapati Shivaji Terminus --> Mulund
P1046	Kopar --> Bhandup
P1047	Sandhurst Road --> Diva
P1048	Parel --> Sandhurst Road
P1049	Mumbra --> Mulund
P1050	Thane --> Kalyan
P1051	Sandhurst Road --> Chinchpokli
P1052	Kopar --> Masjid
P1053	Currey Road --> Mumbra
P1054	Kalwa --> Dadar
P1055	Sion --> Sandhurst Road
P1056	Bhandup --> Masjid
P1057	Diva --> Kanjurmarg
P1058	Currey Road --> Thakurli
P1059	Parel --> Byculla
P1060	Sandhurst Road --> Dombivli
P1061	Diva --> Vikhroli
P1062	Matunga --> Nahur
P1063	Chhatrapati Shivaji Terminus --> Currey Road
P1064	Sandhurst Road --> Matunga
P1065	Kanjurmarg --> Chhatrapati Shivaji Terminus
P1066	Mumbra --> Vidyavihar
P1067	Nahur --> Vidyavihar
P1068	Kopar --> Dombivli
P1069	Chhatrapati Shivaji Terminus --> Mulund
P1070	Byculla --> Thakurli
P1071	Dombivli --> Diva
P1072	Kanjurmarg --> Parel
P1073	Sion --> Masjid
P1074	Kalyan --> Nahur
P1075	Dombivli --> Kanjurmarg
P1076	Byculla --> Nahur
P1077	Sion --> Chinchpokli
P1078	Chhatrapati Shivaji Terminus --> Ghatkopar
P1079	Kopar --> Masjid
P1080	Bhandup --> Sion
P1081	Chhatrapati Shivaji Terminus --> Chinchpokli
P1082	Nahur --> Kurla
P1083	Dombivli --> Nahur
P1084	Chhatrapati Shivaji Terminus --> Kurla
P1085	Byculla --> Kopar
P1086	Nahur --> Kanjurmarg
P1087	Chinchpokli --> Nahur
P1088	Bhandup --> Kanjurmarg
P1089	Parel --> Chinchpokli
P1090	Bhandup --> Chhatrapati Shivaji Terminus
P1091	Kanjurmarg --> Currey Road
P1092	Masjid --> Byculla
P1093	Sion --> Kopar
P1094	Parel --> Ghatkopar
P1095	Mulund --> Dombivli
P1096	Vidyavihar --> Thane
P1097	Vikhroli --> Kopar
P1098	Dadar --> Bhandup
P1099	Masjid --> Chhatrapati Shivaji Terminus
P1100	Ghatkopar --> Thane
P1101	Kopar --> Kurla
P1102	Kanjurmarg --> Masjid
P1103	Ghatkopar --> Bhandup
P1104	Ghatkopar --> Chinchpokli
P1105	Bhandup --> Sandhurst Road
P1106	Chinchpokli --> Bhandup
P1107	Parel --> Kanjurmarg
P1108	Kurla --> Dombivli
P1109	Sion --> Byculla
P1110	Kopar --> Currey Road
P1111	Parel --> Nahur
P1112	Mulund --> Chinchpokli
P1113	Kurla --> Ghatkopar
P1114	Kalyan --> Ghatkopar
P1115	Dadar --> Thane
P1116	Dombivli --> Vidyavihar
P1117	Vidyavihar --> Thakurli
P1118	Thane --> Sion
P1119	Kalwa --> Chhatrapati Shivaji Terminus
P1120	Sandhurst Road --> Kalyan
P1121	Vidyavihar --> Kopar
P1122	Thakurli --> Dombivli
P1123	Diva --> Sion
P1124	Mulund --> Thane
P1125	Kalwa --> Mumbra
P1126	Chinchpokli --> Kanjurmarg
P1127	Vidyavihar --> Kurla
P1128	Thakurli --> Vikhroli
P1129	Masjid --> Matunga
P1130	Matunga --> Thane
P1131	Currey Road --> Parel
P1132	Thakurli --> Masjid
P1133	Diva --> Nahur
P1134	Parel --> Chhatrapati Shivaji Terminus
P1135	Thane --> Kopar
P1136	Chinchpokli --> Dadar
P1137	Chhatrapati Shivaji Terminus --> Currey Road
P1138	Byculla --> Ghatkopar
P1139	Byculla --> Kanjurmarg
P1140	Dombivli --> Kalyan
P1141	Kanjurmarg --> Kalyan
P1142	Kalyan --> Dombivli
P1143	Kalwa --> Thakurli
P1144	Dadar --> Kanjurmarg
P1145	Nahur --> Chinchpokli
P1146	Kanjurmarg --> Byculla
P1147	Kanjurmarg --> Currey Road
P1148	Kopar --> Kalyan
P1149	Byculla --> Ghatkopar
P1150	Vidyavihar --> Matunga
P1151	Kanjurmarg --> Mulund
P1152	Matunga --> Kopar
P1153	Mumbra --> Byculla
P1154	Chhatrapati Shivaji Terminus --> Vikhroli
P1155	Chinchpokli --> Bhandup
P1156	Thakurli --> Diva
P1157	Kanjurmarg --> Dombivli
P1158	Kanjurmarg --> Kalwa
P1159	Chhatrapati Shivaji Terminus --> Dadar
P1160	Nahur --> Vikhroli
P1161	Kanjurmarg --> Parel
P1162	Sandhurst Road --> Dadar
P1163	Thakurli --> Thane
P1164	Masjid --> Diva
P1165	Mulund --> Matunga
P1166	Currey Road --> Chhatrapati Shivaji Terminus
P1167	Kalwa --> Currey Road
P1168	Matunga --> Currey Road
P1169	Ghatkopar --> Mulund
P1170	Chinchpokli --> Kalyan
P1171	Masjid --> Kalwa
P1172	Matunga --> Thakurli
P1173	Currey Road --> Byculla
P1174	Thakurli --> Kanjurmarg
P1175	Byculla --> Matunga
P1176	Matunga --> Kanjurmarg
P1177	Chhatrapati Shivaji Terminus --> Kanjurmarg
P1178	Dadar --> Sion
P1179	Sion --> Dadar
P1180	Sandhurst Road --> Thakurli
P1181	Sion --> Dadar
P1182	Kalwa --> Byculla
P1183	Parel --> Kalwa
P1184	Vikhroli --> Kurla
P1185	Sandhurst Road --> Kalyan
P1186	Kanjurmarg --> Thane
P1187	Sandhurst Road --> Mulund
P1188	Dombivli --> Kanjurmarg
P1189	Thane --> Mulund
P1190	Parel --> Currey Road
P1191	Ghatkopar --> Masjid
P1192	Byculla --> Mulund
P1193	Vidyavihar --> Diva
P1194	Thakurli --> Matunga
P1195	Kurla --> Ghatkopar
P1196	Dombivli --> Kurla
P1197	Nahur --> Mumbra
P1198	Matunga --> Bhandup
P1199	Thane --> Ghatkopar
P1200	Currey Road --> Matunga
P1201	Byculla --> Kurla
P1202	Bhandup --> Thakurli
P1203	Kalyan --> Mumbra
P1204	Parel --> Mulund
P1205	Bhandup --> Sandhurst Road
P1206	Ghatkopar --> Nahur
P1207	Chhatrapati Shivaji Terminus --> Mumbra
P1208	Ghatkopar --> Thane
P1209	Chinchpokli --> Vidyavihar
P1210	Kalyan --> Dadar
P1211	Kurla --> Thane
P1212	Mulund --> Vikhroli
P1213	Kalwa --> Chinchpokli
P1214	Dadar --> Vikhroli
P1215	Bhandup --> Thane
P1216	Dombivli --> Mumbra
P1217	Kalyan --> Parel
P1218	Kalyan --> Kurla
P1219	Mulund --> Thane
P1220	Masjid --> Kalyan
P1221	Matunga --> Byculla
P1222	Thakurli --> Mumbra
P1223	Vidyavihar --> Mulund
P1224	Thane --> Kalwa
P1225	Kalwa --> Kalyan
P1226	Kurla --> Sion
P1227	Kalyan --> Thane
P1228	Dombivli --> Kopar
P1229	Kopar --> Kurla
P1230	Kalyan --> Vikhroli
P1231	Sion --> Kopar
P1232	Parel --> Nahur
P1233	Nahur --> Byculla
P1234	Kalwa --> Kopar
P1235	Currey Road --> Bhandup
P1236	Ghatkopar --> Dombivli
P1237	Mulund --> Nahur
P1238	Matunga --> Kanjurmarg
P1239	Vikhroli --> Matunga
P1240	Mulund --> Masjid
P1241	Thane --> Parel
P1242	Mumbra --> Sandhurst Road
P1243	Kalwa --> Kanjurmarg
P1244	Kalwa --> Mumbra
P1245	Currey Road --> Kalyan
P1246	Mumbra --> Thane
P1247	Byculla --> Mulund
P1248	Sandhurst Road --> Nahur
P1249	Vidyavihar --> Kalwa
P1250	Mumbra --> Currey Road
P1251	Nahur --> Byculla
P1252	Kalyan --> Sandhurst Road
P1253	Kanjurmarg --> Chhatrapati Shivaji Terminus
P1254	Sion --> Dombivli
P1255	Bhandup --> Kalwa
P1256	Chinchpokli --> Mulund
P1257	Kurla --> Byculla
P1258	Thakurli --> Chhatrapati Shivaji Terminus
P1259	Currey Road --> Vidyavihar
P1260	Bhandup --> Matunga
P1261	Kalyan --> Mulund
P1262	Byculla --> Kanjurmarg
P1263	Parel --> Vikhroli
P1264	Byculla --> Kurla
P1265	Masjid --> Thakurli
P1266	Ghatkopar --> Dadar
P1267	Dombivli --> Masjid
P1268	Bhandup --> Thakurli
P1269	Sion --> Dadar
P1270	Chhatrapati Shivaji Terminus --> Diva
P1271	Vidyavihar --> Dombivli
P1272	Kurla --> Mulund
P1273	Kanjurmarg --> Byculla
P1274	Dombivli --> Vidyavihar
P1275	Byculla --> Vidyavihar
P1276	Kalyan --> Dombivli
P1277	Chinchpokli --> Dombivli
P1278	Kanjurmarg --> Bhandup
P1279	Sandhurst Road --> Ghatkopar
P1280	Kopar --> Dombivli
P1281	Mumbra --> Kanjurmarg
P1282	Diva --> Ghatkopar
P1283	Nahur --> Sion
P1284	Thane --> Sion
P1285	Mumbra --> Nahur
P1286	Masjid --> Thakurli
P1287	Vikhroli --> Currey Road
P1288	Masjid --> Vidyavihar
P1289	Kalyan --> Ghatkopar
P1290	Sandhurst Road --> Diva
P1291	Ghatkopar --> Bhandup
P1292	Dadar --> Mumbra
P1293	Kanjurmarg --> Kopar
P1294	Chinchpokli --> Matunga
P1295	Mulund --> Dombivli
P1296	Mulund --> Ghatkopar
P1297	Kopar --> Mulund
P1298	Sion --> Currey Road
P1299	Sion --> Nahur
P1300	Dombivli --> Sandhurst Road
P1301	Nahur --> Sandhurst Road
P1302	Sandhurst Road --> Matunga
P1303	Nahur --> Kalwa
P1304	Chhatrapati Shivaji Terminus --> Chinchpokli
P1305	Kalwa --> Sion
P1306	Kurla --> Matunga
P1307	Dadar --> Vidyavihar
P1308	Kalyan --> Kalwa
P1309	Vikhroli --> Nahur
P1310	Dadar --> Matunga
P1311	Kanjurmarg --> Vidyavihar
P1312	Matunga --> Kalyan
P1313	Thakurli --> Ghatkopar
P1314	Nahur --> Kalyan
P1315	Kalwa --> Vidyavihar
P1316	Kalyan --> Byculla
P1317	Sandhurst Road --> Dombivli
P1318	Kurla --> Mumbra
P1319	Nahur --> Kurla
P1320	Thane --> Chhatrapati Shivaji Terminus
P1321	Chinchpokli --> Chhatrapati Shivaji Terminus
P1322	Chinchpokli --> Thane
P1323	Kurla --> Mulund
P1324	Byculla --> Currey Road
P1325	Byculla --> Diva
P1326	Thakurli --> Parel
P1327	Mulund --> Thakurli
P1328	Ghatkopar --> Byculla
P1329	Chinchpokli --> Mulund
P1330	Byculla --> Kopar
P1331	Mumbra --> Vikhroli
P1332	Vikhroli --> Chhatrapati Shivaji Terminus
P1333	Masjid --> Diva
P1334	Sion --> Parel
P1335	Masjid --> Vidyavihar
P1336	Vidyavihar --> Sandhurst Road
P1337	Byculla --> Chinchpokli
P1338	Vidyavihar --> Kurla
P1339	Thakurli --> Kalyan
P1340	Chinchpokli --> Kalwa
P1341	Parel --> Kurla
P1342	Dadar --> Vidyavihar
P1343	Ghatkopar --> Kurla
P1344	Diva --> Kalyan
P1345	Matunga --> Mumbra
P1346	Chhatrapati Shivaji Terminus --> Nahur
P1347	Chhatrapati Shivaji Terminus --> Nahur
P1348	Sandhurst Road --> Dadar
P1349	Parel --> Dadar
P1350	Chhatrapati Shivaji Terminus --> Ghatkopar
P1351	Matunga --> Parel
P1352	Diva --> Kalyan
P1353	Masjid --> Matunga
P1354	Kanjurmarg --> Kurla
P1355	Byculla --> Sandhurst Road
P1356	Mulund --> Sandhurst Road
P1357	Sandhurst Road --> Chhatrapati Shivaji Terminus
P1358	Thane --> Kurla
P1359	Vikhroli --> Sion
P1360	Nahur --> Thane
P1361	Bhandup --> Kalyan
P1362	Chhatrapati Shivaji Terminus --> Vikhroli
P1363	Vikhroli --> Parel
P1364	Thane --> Kalwa
P1365	Diva --> Vikhroli
P1366	Sion --> Chinchpokli
P1367	Diva --> Masjid
P1368	Dadar --> Byculla
P1369	Masjid --> Vikhroli
P1370	Chinchpokli --> Kalyan
P1371	Thane --> Kanjurmarg
P1372	Kalyan --> Vidyavihar
P1373	Dombivli --> Kurla
P1374	Thane --> Parel
P1375	Nahur --> Currey Road
P1376	Kanjurmarg --> Thakurli
P1377	Currey Road --> Kanjurmarg
P1378	Ghatkopar --> Byculla
P1379	Matunga --> Bhandup
P1380	Sion --> Kanjurmarg
P1381	Bhandup --> Matunga
P1382	Nahur --> Parel
P1383	Bhandup --> Vikhroli
P1384	Vidyavihar --> Kopar
P1385	Sion --> Byculla
P1386	Thane --> Byculla
P1387	Bhandup --> Kanjurmarg
P1388	Thane --> Kanjurmarg
P1389	Currey Road --> Chinchpokli
P1390	Nahur --> Kurla
P1391	Diva --> Ghatkopar
P1392	Masjid --> Kalyan
P1393	Kanjurmarg --> Kalyan
P1394	Masjid --> Vikhroli
P1395	Dombivli --> Dadar
P1396	Dadar --> Matunga
P1397	Bhandup --> Masjid
P1398	Dadar --> Thane
P1399	Ghatkopar --> Sandhurst Road
P1400	Bhandup --> Kanjurmarg
P1401	Mumbra --> Sion
P1402	Currey Road --> Byculla
P1403	Dombivli --> Mulund
P1404	Kurla --> Ghatkopar
P1405	Kanjurmarg --> Sandhurst Road
P1406	Byculla --> Dadar
P1407	Mumbra --> Dombivli
P1408	Vikhroli --> Sandhurst Road
P1409	Parel --> Nahur
P1410	Vikhroli --> Sandhurst Road
P1411	Vidyavihar --> Sion
P1412	Vikhroli --> Chhatrapati Shivaji Terminus
P1413	Vikhroli --> Thane
P1414	Sandhurst Road --> Thane
P1415	Dombivli --> Chhatrapati Shivaji Terminus
P1416	Dombivli --> Parel
P1417	Dadar --> Vidyavihar
P1418	Kalyan --> Sion
P1419	Matunga --> Currey Road
P1420	Chhatrapati Shivaji Terminus --> Thane
P1421	Kalyan --> Currey Road
P1422	Kalwa --> Chinchpokli
P1423	Mumbra --> Kurla
P1424	Currey Road --> Sandhurst Road
P1425	Thakurli --> Kalwa
P1426	Dombivli --> Ghatkopar
P1427	Dadar --> Vidyavihar
P1428	Bhandup --> Diva
P1429	Kalyan --> Thane
P1430	Currey Road --> Byculla
P1431	Kalwa --> Mumbra
P1432	Diva --> Vikhroli
P1433	Parel --> Vikhroli
P1434	Kanjurmarg --> Mulund
P1435	Kalwa --> Sion
P1436	Ghatkopar --> Currey Road
P1437	Masjid --> Bhandup
P1438	Kopar --> Ghatkopar
P1439	Dombivli --> Kurla
P1440	Mulund --> Matunga
P1441	Kurla --> Diva
P1442	Dombivli --> Kanjurmarg
P1443	Ghatkopar --> Thane
P1444	Vidyavihar --> Sion
P1445	Bhandup --> Dadar
P1446	Diva --> Sandhurst Road
P1447	Thakurli --> Mumbra
P1448	Chinchpokli --> Dombivli
P1449	Dadar --> Sion
P1450	Mumbra --> Parel
P1451	Byculla --> Mumbra
P1452	Kalyan --> Kurla
P1453	Vidyavihar --> Vikhroli
P1454	Masjid --> Vidyavihar
P1455	Nahur --> Matunga
P1456	Nahur --> Diva
P1457	Kanjurmarg --> Parel
P1458	Currey Road --> Kalwa
P1459	Byculla --> Kurla
P1460	Sion --> Sandhurst Road
P1461	Chinchpokli --> Mulund
P1462	Vidyavihar --> Mumbra
P1463	Byculla --> Dadar
P1464	Chinchpokli --> Sandhurst Road
P1465	Ghatkopar --> Kanjurmarg
P1466	Byculla --> Kopar
P1467	Mulund --> Currey Road
P1468	Mulund --> Chhatrapati Shivaji Terminus
P1469	Thane --> Chinchpokli
P1470	Currey Road --> Byculla
P1471	Sion --> Kanjurmarg
P1472	Ghatkopar --> Thakurli
P1473	Thakurli --> Currey Road
P1474	Kalyan --> Parel
P1475	Vikhroli --> Thakurli
P1476	Kanjurmarg --> Thane
P1477	Mumbra --> Vidyavihar
P1478	Matunga --> Thane
P1479	Masjid --> Chhatrapati Shivaji Terminus
P1480	Ghatkopar --> Kanjurmarg
P1481	Dombivli --> Thakurli
P1482	Mulund --> Kurla
P1483	Kurla --> Sandhurst Road
P1484	Kurla --> Kopar
P1485	Dadar --> Sandhurst Road
P1486	Bhandup --> Kalyan
P1487	Dadar --> Ghatkopar
P1488	Matunga --> Parel
P1489	Masjid --> Ghatkopar
P1490	Mulund --> Sandhurst Road
P1491	Diva --> Kanjurmarg
P1492	Thane --> Sion
P1493	Vidyavihar --> Masjid
P1494	Thane --> Bhandup
P1495	Chinchpokli --> Sandhurst Road
P1496	Kanjurmarg --> Kalwa
P1497	Nahur --> Kurla
P1498	Dadar --> Kalyan
P1499	Nahur --> Vidyavihar
P1500	Dadar --> Diva
P1501	Thane --> Kalwa
P1502	Nahur --> Thakurli
P1503	Thakurli --> Thane
P1504	Dombivli --> Kurla
P1505	Masjid --> Dadar
P1506	Kopar --> Mulund
P1507	Mulund --> Byculla
P1508	Byculla --> Vidyavihar
P1509	Chhatrapati Shivaji Terminus --> Dadar
P1510	Kalyan --> Matunga
P1511	Matunga --> Kurla
P1512	Currey Road --> Dadar
P1513	Thane --> Parel
P1514	Bhandup --> Vikhroli
P1515	Byculla --> Thane
P1516	Thane --> Chhatrapati Shivaji Terminus
P1517	Thakurli --> Sandhurst Road
P1518	Matunga --> Byculla
P1519	Vidyavihar --> Sandhurst Road
P1520	Nahur --> Vikhroli
P1521	Byculla --> Mumbra
P1522	Mulund --> Parel
P1523	Chinchpokli --> Kalyan
P1524	Mumbra --> Sion
P1525	Kalwa --> Thane
P1526	Ghatkopar --> Chhatrapati Shivaji Terminus
P1527	Kanjurmarg --> Diva
P1528	Kalyan --> Diva
P1529	Diva --> Chhatrapati Shivaji Terminus
P1530	Diva --> Sion
P1531	Ghatkopar --> Diva
P1532	Dombivli --> Currey Road
P1533	Vidyavihar --> Ghatkopar
P1534	Sion --> Mumbra
P1535	Thakurli --> Bhandup
P1536	Kalyan --> Mulund
P1537	Kalyan --> Parel
P1538	Dadar --> Dombivli
P1539	Kalwa --> Thakurli
P1540	Masjid --> Vikhroli
P1541	Kopar --> Thakurli
P1542	Vikhroli --> Chhatrapati Shivaji Terminus
P1543	Dadar --> Sandhurst Road
P1544	Kurla --> Dadar
P1545	Parel --> Kalyan
P1546	Masjid --> Vidyavihar
P1547	Thakurli --> Kopar
P1548	Nahur --> Masjid
P1549	Nahur --> Thakurli
P1550	Kalyan --> Vikhroli
P1551	Masjid --> Sandhurst Road
P1552	Vikhroli --> Dombivli
P1553	Vikhroli --> Byculla
P1554	Kanjurmarg --> Vidyavihar
P1555	Thakurli --> Dombivli
P1556	Sion --> Nahur
P1557	Ghatkopar --> Nahur
P1558	Kopar --> Dadar
P1559	Kalyan --> Chinchpokli
P1560	Currey Road --> Kalwa
P1561	Nahur --> Mumbra
P1562	Masjid --> Nahur
P1563	Chinchpokli --> Dombivli
P1564	Mumbra --> Dadar
P1565	Chinchpokli --> Diva
P1566	Mulund --> Kalyan
P1567	Chinchpokli --> Ghatkopar
P1568	Kalwa --> Currey Road
P1569	Mulund --> Byculla
P1570	Bhandup --> Currey Road
P1571	Thane --> Kalyan
P1572	Masjid --> Parel
P1573	Mulund --> Sion
P1574	Nahur --> Kopar
P1575	Currey Road --> Chhatrapati Shivaji Terminus
P1576	Chinchpokli --> Kalwa
P1577	Chhatrapati Shivaji Terminus --> Vidyavihar
P1578	Ghatkopar --> Kalwa
P1579	Bhandup --> Kalyan
P1580	Mulund --> Dadar
P1581	Diva --> Vidyavihar
P1582	Mulund --> Vikhroli
P1583	Nahur --> Chhatrapati Shivaji Terminus
P1584	Parel --> Thane
P1585	Kalyan --> Masjid
P1586	Diva --> Matunga
P1587	Diva --> Currey Road
P1588	Chhatrapati Shivaji Terminus --> Byculla
P1589	Kurla --> Mulund
P1590	Dombivli --> Parel
P1591	Parel --> Chhatrapati Shivaji Terminus
P1592	Byculla --> Parel
P1593	Sion --> Dadar
P1594	Vidyavihar --> Mumbra
P1595	Parel --> Kopar
P1596	Vidyavihar --> Kalwa
P1597	Thakurli --> Kopar
P1598	Mulund --> Diva
P1599	Vidyavihar --> Diva
P1600	Thane --> Currey Road
P1601	Mulund --> Kanjurmarg
P1602	Kurla --> Sandhurst Road
P1603	Dombivli --> Kalwa
P1604	Kalyan --> Ghatkopar
P1605	Bhandup --> Kalwa
P1606	Thane --> Currey Road
P1607	Matunga --> Thakurli
P1608	Byculla --> Kanjurmarg
P1609	Ghatkopar --> Mumbra
P1610	Dombivli --> Mumbra
P1611	Diva --> Masjid
P1612	Bhandup --> Matunga
P1613	Kalyan --> Chinchpokli
P1614	Byculla --> Dombivli
P1615	Thane --> Kurla
P1616	Currey Road --> Kalyan
P1617	Masjid --> Kopar
P1618	Chhatrapati Shivaji Terminus --> Vidyavihar
P1619	Vikhroli --> Mumbra
P1620	Currey Road --> Sandhurst Road
P1621	Currey Road --> Diva
P1622	Chinchpokli --> Mulund
P1623	Kopar --> Thakurli
P1624	Byculla --> Nahur
P1625	Sion --> Parel
P1626	Matunga --> Diva
P1627	Kopar --> Matunga
P1628	Kurla --> Masjid
P1629	Nahur --> Mulund
P1630	Kalyan --> Chinchpokli
P1631	Masjid --> Kopar
P1632	Kanjurmarg --> Sion
P1633	Thakurli --> Matunga
P1634	Thakurli --> Sandhurst Road
P1635	Mulund --> Kalwa
P1636	Bhandup --> Dombivli
P1637	Chinchpokli --> Dadar
P1638	Sion --> Kopar
P1639	Mumbra --> Chhatrapati Shivaji Terminus
P1640	Bhandup --> Mulund
P1641	Thakurli --> Matunga
P1642	Sandhurst Road --> Dadar
P1643	Diva --> Thane
P1644	Diva --> Kopar
P1645	Mulund --> Matunga
P1646	Vikhroli --> Kalyan
P1647	Diva --> Currey Road
P1648	Bhandup --> Parel
P1649	Mulund --> Bhandup
P1650	Chhatrapati Shivaji Terminus --> Dadar
P1651	Vidyavihar --> Vikhroli
P1652	Dadar --> Currey Road
P1653	Kalyan --> Sandhurst Road
P1654	Chhatrapati Shivaji Terminus --> Mumbra
